fuente,id_aviso,tipo,titulo,barrio,barrio_corto,precio,moneda,ambientes,dormitorios,banos,metros_cubiertos,metros_totales,expensas_ars,antiguedad,usd_por_m2,url
argenprop,18559668,Departamento,Venta Departamento 4 ambientes en lomas de nuñez reciclado !,"Ohiggins  al 4600, Lomas de Nuñez, Nuñez, Capital Federal",Nuñez,182000.0,USD,,3.0,,77.0,,197208.0,0.0,2363.6,https://www.argenprop.com/departamento-en-venta-en-lomas-de-nunez-4-ambientes--18559668
argenprop,18708442,Departamento,Departamento - Barrio Norte,"Charcas al 2800, Barrio Norte, Capital Federal",Barrio Norte,120000.0,USD,,1.0,,47.0,,96000.0,90.0,2553.2,https://www.argenprop.com/departamento-en-venta-en-barrio-norte-2-ambientes--18708442
argenprop,19216976,Departamento,Departamento 3  amb suite balcon aterrazado - cochera - APTO CREDITO  Villa Urquiza,"Diaz Colodrero al 3300, Villa Urquiza, Capital Federal",Villa Urquiza,189000.0,USD,,2.0,,65.0,,,10.0,2907.7,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-3-ambientes--19216976
argenprop,18805092,Departamento,SEMIP EN O'HIGGINS AL 1700 - 121 M2 BAULERA T/A NVO BCON ESPECT V/ABIERTA 3 BAÑOS,"O'HIGGINS al 1700 2°, Belgrano, Capital Federal",Belgrano,320000.0,USD,,3.0,,121.0,,573000.0,1.0,2644.6,https://www.argenprop.com/departamento-en-venta-en-belgrano-4-ambientes--18805092
argenprop,19557382,Departamento,DEPARTAMENTO EN VENTA MONOAMBIENTE VILLA URQUIZA,"Mariano Acha 3000, Villa Urquiza, Capital Federal",Villa Urquiza,85000.0,USD,,,1.0,33.0,,,9.0,2575.8,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--19557382
argenprop,19437925,Departamento,Departamento en Venta en Belgrano,"Av. Cramer 2400, Belgrano R, Belgrano, Capital Federal",Belgrano,270000.0,USD,,3.0,2.0,103.65,,220000.0,,2604.9,https://www.argenprop.com/departamento-en-venta-en-belgrano-r-4-ambientes--19437925
argenprop,19295661,Departamento,DUEÑO - GRAN  OPORTUNIDAD - BALCON A PULMON ARBOLADO MUY TRANQUILO - COCHERA y BAULERA - EXCELENTE RENTA,"ESMERALDA 1000, Piso 9, Plaza San Martín, Barrio Norte, Capital Federal",Barrio Norte,168000.0,USD,,3.0,,92.0,,500000.0,40.0,1826.1,https://www.argenprop.com/departamento-en-venta-en-plaza-san-martin-4-ambientes--19295661
argenprop,18149482,Departamento,Departamento en Nuñez 2 ambientes,"VUELTA DE OBLIGADO al 4800, Nuñez, Capital Federal",Nuñez,139189.0,USD,,1.0,,52.0,,,0.0,2676.7,https://www.argenprop.com/departamento-en-venta-en-nunez-2-ambientes--18149482
argenprop,19332253,Departamento,Departamento de 4 ambientes con dep. y terraza propia con parrilla - Piscina,"Av. Juan B. Alberdi  al 200, piso 12, Caballito Sur, Caballito, Capital Federal",Caballito,280000.0,USD,,3.0,,99.0,,380000.0,30.0,2828.3,https://www.argenprop.com/departamento-en-venta-en-caballito-sur-4-ambientes--19332253
argenprop,18635087,Departamento,"Venta Semipiso 3 ambientes, Palermo Recoleta","Pagano Jose Leon al 2700, Recoleta, Capital Federal",Recoleta,454000.0,USD,,2.0,,131.0,,490000.0,80.0,3465.6,https://www.argenprop.com/departamento-en-venta-en-recoleta-3-ambientes--18635087
argenprop,18687136,Departamento,VENTA DEPARTAMENTO A ESTRENAR  2 AMBIENTES con cochera ALMAGRO,"QUERANDIES 4400, Piso 9, Almagro, Capital Federal",Almagro,108000.0,USD,,1.0,,40.0,,,0.0,2700.0,https://www.argenprop.com/departamento-en-venta-en-almagro-2-ambientes--18687136
argenprop,19244163,Departamento,"Hermoso 3 ambientes más dependencia, posible 4 ambientes","Manuel Ugarte 1800, Nuñez, Capital Federal",Nuñez,365000.0,USD,,3.0,,94.0,,470000.0,10.0,3883.0,https://www.argenprop.com/departamento-en-venta-en-nunez-4-ambientes--19244163
argenprop,18103536,Departamento,2 amb muy bien ubicado ideal primera vivienda,"Senillosa 500, Piso 1, Caballito, Capital Federal",Caballito,85000.0,USD,,1.0,,41.0,,74300.0,70.0,2073.2,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--18103536
argenprop,19480173,Departamento,DEPARTAMENTO EN VENTA DE 2 AMB EN NUÑEZ,"GUAYRA 2100, Nuñez, Capital Federal",Nuñez,130000.0,USD,,1.0,,167.0,,600000.0,10.0,778.4,https://www.argenprop.com/departamento-en-venta-en-nunez-2-ambientes--19480173
argenprop,19533552,Departamento,Venta departamento 3 ambientes de pozo 2 B ctfre Nuñez,"Vidal 3100, Piso 2, Nuñez, Capital Federal",Nuñez,179500.0,USD,,2.0,,60.0,,,0.0,2991.7,https://www.argenprop.com/departamento-en-venta-en-nunez-3-ambientes--19533552
argenprop,19243111,Departamento,"3 Ambientes 86 m2 (total) en Núñez con Suite, 2 Vestidores, Doble Balcón a Estrenar","Av. Cramer al 3300, Nuñez, Capital Federal",Nuñez,225000.0,USD,,2.0,,71.0,,267300.0,0.0,3169.0,https://www.argenprop.com/departamento-en-venta-en-nunez-3-ambientes--19243111
